id;Nome;Tipo;Sigla;Setor;Status;Sond;Data Aquisição;Última Calibração;Periodicidade;Status Calibração;Fabricante;Modelo;Modelo Técnico;Número de Série;Informações Extras
191;PRO-060;Proveta;PRO;SED;ativo;714;08-08-2022;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta de vidro 1000ml -> Sem graduação e sem bico vertedor
192;PRO-051;Proveta;PRO;SED;ativo;705;08-08-2022;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta de vidro 1000ml -> Sem graduação e sem bico vertedor
193;PRO-049;Proveta;PRO;SED;inativo;703;08-08-2022;;12;Especial;Lacerda;;Vidro 1000ml;;Proveta de vidro 1000ml -> Sem graduação e sem bico vertedor
194;PRO-042;Proveta;PRO;SED;inativo;338;01-01-2019;;12;Incerto;LaborGlas;;Vidro 1000ml;;Proveta vidro graduada 1000ml
195;PRO-037;Proveta;PRO;SED;ativo;333;01-01-2019;23-02-2024;12;Não_Calibrado;Deltex;;Vidro 1000ml;;Proveta vidro graduada 1000ml
196;PRO-035;Proveta;PRO;SED;ativo;331;01-01-2019;;12;Incerto;Deltex;;Vidro 1000ml;;Proveta vidro graduada 1000ml
197;PRO-030;Proveta;PRO;SED;ativo;326;01-01-2019;;12;Incerto;Deltex;;Vidro 1000ml;; Proveta vidro graduada 1000ml
198;PRO-027;Proveta;PRO;SED;ativo;323;01-01-2019;;12;Especial;Deltex;;Vidro 1000ml;;Proveta vidro graduada 1000ml
199;PRO-095;Proveta;PRO;SED;inativo;1103;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;095;Proveta sem bico graduada 1.000ml com base plástica
200;PRO-108;Proveta;PRO;SED;inativo;1116;21-08-2023;;12;Incerto;Projetest;;Vidro graduado 1000ml;108;Proveta sem bico graduada 1000ml com base plástica
201;PRO-063;Proveta;PRO;SED;inativo;717;08-08-2022;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta de vidro 1000ml -> Sem graduação e sem bico vertedor
202;PRO-153;Proveta;PRO;SED;ativo;1608;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
203;PRO-154;Proveta;PRO;SED;ativo;1609;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
204;PRO-155;Proveta;PRO;SED;ativo;1610;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
205;PRO-156;Proveta;PRO;SED;ativo;1611;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
206;PRO-157;Proveta;PRO;SED;ativo;1612;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
207;PRO-158;Proveta;PRO;SED;inativo;1613;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
208;PRO-159;Proveta;PRO;SED;inativo;1614;10-07-2025;;12;Especial;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
209;PRO-160;Proveta;PRO;SED;ativo;1615;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
210;PRO-161;Proveta;PRO;SED;ativo;1616;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
211;PRO-162;Proveta;PRO;SED;ativo;1617;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
212;PRO-163;Proveta;PRO;SED;ativo;1618;10-07-2025;;12;Especial;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
213;PRO-164;Proveta;PRO;SED;ativo;1619;10-07-2025;;12;Especial;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
214;PRO-165;Proveta;PRO;SED;ativo;1620;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
215;PRO-166;Proveta;PRO;SED;inativo;1621;10-07-2025;;12;Especial;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
216;PRO-167;Proveta;PRO;SED;ativo;1622;10-07-2025;;12;Incerto;Eco Formas;;Proveta 1000ml;;Proveta 1000 ml Vidro Graduada 1000 Ml com base Polie
217;PRO-145;Proveta;PRO;SED;ativo;1559;10-02-2025;;12;Incerto;ECO FORMAS;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação.
218;PRO-148;Proveta;PRO;SED;ativo;1577;10-02-2025;;12;Especial;ECO FORMAS;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
219;PRO-002;Proveta;PRO;SED;ativo;298;01-01-2019;;12;Incerto;Solotest;;Plástica 1000ml;;Proveta plástica graduada 1000ml
220;DEN-007;Densímetro;DEN;SED;inativo;1273;01-01-2023;07-05-2025;12;Calibrado;Pyromed;;PY5846.4.4;00080-21;Densímetro para ensaio de sedimentação.
221;DEN-006;Densímetro;DEN;SED;ativo;1230;01-01-2023;07-05-2025;12;Calibrado;Pyromed;;PY5846.4.4;03986-20;DENSÍMETRO PARA ENSAIO DE SEDIMENTAÇÃO
222;THD-002;Termo Higrômetro;THD;COM;ativo;477;;22-04-2021;12;Não_Calibrado;YYINS;;YS17627W;17627;Relógio Digital Marca Hora Temperatura Umidade Do Ar + Alarm
223;PEN-137;Peneira;PEN;SED;ativo;1357;15-10-2024;09-12-2024;12;Calibrado;ECO FORMAS;Malha 60;PEN N60;;
224;PEN-154;Peneira;PEN;SED;ativo;1592;05-02-2025;;12;Especial;SOLOTEST;Malha 200;Malha 200;500461;Malha 200
225;CASA-005;Casagrande;CASA;EE2;ativo;833;23-12-2022;;12;Incerto;Brasil Solos;;Manual;728715-001;Aparelho Casa Grande Manual com contador + cinzeis
226;CASA-006;Casagrande;CASA;EE2;ativo;965;23-05-2023;;12;Incerto;Brasil Solos;;Manual;006;Aparelho Casagrande Manual com cinzeis
227;DIS-003;Dispersor;DIS;SED;ativo;536;13-11-2023;;12;Especial;BRASIL SOLOS;;BMK220CC5;009390;Dispersor de Amostras Solos com Copo - Inox e Chicana 220V
228;DIS-006;Dispersor;DIS;SED;ativo;1412;04-11-2024;;12;Incerto;ENGETOTUS;;Dispersor de solos;157;1412
229;PEN-129;Peneira;PEN;EE1;ativo;1349;15-10-2024;;12;Incerto;Eco Formas;Malha 3/4;PEN 3/4;;
230;PEN-057;Peneira;PEN;EE1;ativo;735;15-08-2022;18-11-2022;12;Especial;Projetest;Malha 3/4;19,00mm (3/4´´);;
231;DEN-004;Densímetro;DEN;SED;ativo;1228;01-01-2020;12-02-2025;12;Calibrado;INCOTERM;;5846.4;4239/18;DENSÍMETRO PARA ENSAIO DE SEDIMENTAÇÃO.
232;DEN-002;Densímetro;DEN;EST;inativo;86;01-01-2021;;12;Incerto;Incoterm;;5846.4;49231/11;DENSÍMETRO PARA ENSAIO DE SEDIMENTAÇÃO.
234;BAL-008;Balança;BAL;NEN;inativo;78;01-01-2021;04-06-2025;12;Calibrado;Marte;;AD5002;388482;Balança de Precisão Marte modelo AD 5002 - 5010 g- 5010 g e div. 0,01 g - RS 232 / TopLab *Setor especiais, umidade natural*
235;BAL-025;Balança;BAL;NEN;inativo;1391;30-10-2024;04-06-2025;12;Calibrado;Marte;;AD3300;;Balança de precisão 3.300g resolução 0,01g
