id;Nome;Tipo;Sigla;Setor;Status;Sond;Data Aquisição;Última Calibração;Periodicidade;Status Calibração;Fabricante;Modelo;Modelo Técnico;Número de Série;Informações Extras
75;PEN-049;Peneira;PEN;SED;ativo;727;15-08-2022;10-02-2025;12;Calibrado;Projetest;Malha 60;0,250mm (Nº60);;
76;PEN-028;Peneira;PEN;SED;ativo;190;01-02-2013;;12;Incerto;Solotest;Malha 100;Abert 150mm Malha 100;100Y;Peneira de análise granulométrica Abert 150mm Malha 100
77;PEN-149;Peneira;PEN;SED;inativo;1493;05-02-2025;;12;Especial;Solotest;Malha 200;Malha 200;490057;Peneira 8x2 Número 200 - abertura 0,75mm
78;PEN-063;Peneira;PEN;SED;ativo;811;10-11-2022;;12;Incerto;Solotest;;Fundo 8x2´;;Fundo para peneira 8x2´´ de aço inox
79;BAL-012;Balança;BAL;SED;ativo;82;01-01-2021;;12;Incerto;Bel;;S2202h (Classe II);BE2000590;Balança eletrônica digital 2200 g - Bel *Setor Sed/Pen*
80;PEN-077;Peneira;PEN;SED;ativo;1015;21-07-2023;;12;Incerto;Projetest;Malha 16;1,18 mm (nº16);3Y850023;PENEIRA 8X2´´ NR.16 - 1,18MM INOX
81;PEN-111;Peneira;PEN;SED;ativo;1320;23-10-2024;22-06-2025;12;Calibrado;Projetest;Malha 30;0,600mm(Nº30);445063;Em uso para o pen fino . Peneira0,600mm(Nº30)
82;PEN-080;Peneira;PEN;SED;ativo;1018;21-07-2023;;12;Incerto;Projetest;Malha 40;0,425 mm (nº40);ONIBR923;PENEIRA 8X2´´ NR.40 - 0,425MM INOX
83;PEN-092;Peneira;PEN;SED;inativo;1030;21-07-2023;;12;Especial;Projetest;Malha 60;0,250mm (nº60);2H0X8N23;Em uso para o pen fino. PENEIRA 8X2´´ NR.60- 0,250MM INOX
84;PEN-082;Peneira;PEN;SED;ativo;1020;21-07-2023;;12;Incerto;Projetest;Malha 100;0,150 MM (Nº100);I3V68Z23;Em uso para o pen fino. PENEIRA 8X2´´ NR.100 - 0,150MM INOX
85;PEN-141;Peneira;PEN;SED;ativo;1419;12-12-2024;22-06-2025;12;Calibrado;Solotest;Malha 200;PEN N200;487604;Peneira de malha 200 - 0,075mm INOX . Precisa de calibração Em uso para o pen fino (Dani) 24-01-2025
86;BAL-006;Balança;BAL;SED;ativo;76;01-01-2021;04-06-2025;12;Calibrado;Bel;;S2202h (Classe II);BE1800971;Balança eletrônica digital 2200 g - Bel *Setor Sed/Pen*
87;BAL-007;Balança;BAL;SED;ativo;77;01-01-2021;04-06-2025;12;Calibrado;Bel;;S2202h (Classe II);BE1800696;Balança eletrônica digital 2200 g - Bel *Setor Preparação* Manutenção-19/04/2024------ Voltou da manutenção dia 19/06/2024 e entregue para preparação.
88;PEN-061;Peneira;PEN;SED;ativo;809;10-11-2022;;12;Incerto;Solotest;;Fundo 8x2´;;
89;PEN-109;Peneira;PEN;SED;inativo;1047;12-12-2023;;12;Especial;;Malha 200;0,075mm (Nº200);463855;Peneira 0,075mm (Nº200)
90;PEN-134;Peneira;PEN;SED;ativo;1354;15-10-2024;11-12-2024;12;Calibrado;ECO FORMAS;Malha 40;PEN N40;;
91;PEN-138;Peneira;PEN;SED;ativo;1358;15-10-2024;09-12-2024;12;Calibrado;ECO FORMAS;Malha 100;PEN N100;;
92;PEN-143;Peneira;PEN;SED;ativo;1421;12-12-2024;;12;Incerto;Solotest;Malha 200;PEN N200;487603;Peneira de malha 200 - 0,075mm INOX ESTOQUE
93;PEN-114;Peneira;PEN;SED;ativo;1318;23-10-2024;12-05-2025;12;Calibrado;Projetest;Malha 40;0,425mm(Nº40);445055;Em uso para o pen fino. Peneira 0,425mm(Nº40
94;PEN-054;Peneira;PEN;SED;ativo;732;15-08-2022;;12;Incerto;Projetest;Malha 10;2,00mm (Nº10);;
95;PEN-096;Peneira;PEN;SED;ativo;1034;21-07-2023;;12;Incerto;Projetest;Malha 3/8;"9,5 mm (nº3/8\\\"")";W5641523;"Em uso para o pen grosso. PENEIRA 8X2´´ NR.3/8\\\"" - 9,5 MM INOX"
96;PEN-085;Peneira;PEN;SED;ativo;1023;21-07-2023;;12;Especial;Projetest;Malha 1;"25,00 MM (Nº1\\\"")";6896R023;"PENEIRA NR.1\\\"" -25,00MM INOX ENSAIO ESPECIAIS"
97;PEN-053;Peneira;PEN;SED;ativo;731;15-08-2022;18-11-2022;12;Incerto;Projetest;Malha 1 1/2;37,50mm (1.1/2´´);;
98;PEN-016;Peneira;PEN;SED;inativo;178;01-02-2013;;12;Incerto;Marte;Malha 2;Abert 50mm Malha 2;100444;Peneira de análise granulométrica Abert 50mm Malha 2
99;BAL-021;Balança;BAL;SED;ativo;1244;20-02-2024;04-06-2025;12;Calibrado;TOLEDO;;9094C/12;13612281;Balança de capacidade 15kg Setor: Sed/Peneiramento Grosso
100;EST-002;Estufa;EST;SED;inativo;1453;30-04-2012;14-05-2025;12;Calibrado;SOLOTEST;;Q317M-32;12070957;Estufa microprocessada de secagem com timer
101;TAN-003;Tanque;TAN;SED;ativo;1235;26-01-2024;;12;Especial;SOLAB;;Tanque para banho;;Tanque para banho de provetas com aquecimento para ensaio de sedimentação. Tanque de 18.
102;TAN-004;Tanque;TAN;SED;ativo;1394;04-11-2024;;12;Especial;SOLAB;;Tanque para banho;;Tanque banho maria para ensaio de sedimentação com capacidade para 20 provetas.
103;TAN-001;Tanque;TAN;SED;ativo;1233;26-01-2024;;12;Especial;SoloTest;;Tanque para banho;;Tanque para banho de provetas com aquecimento para ensaio de sedimentação.
104;TAN-002;Tanque;TAN;SED;ativo;1234;26-01-2024;;12;Especial;Solab;;Tanque para banho;;Tanque para banho de provetas com aquecimento para ensaio de sedimentação.
105;PEN-120;Peneira;PEN;SED;ativo;1315;23-10-2024;;12;Especial;ECO FORMAS;Malha 200;200;0;Peneira de malha 200 usada para lavagem na sedimentação.
106;PEN-153;Peneira;PEN;SED;ativo;1518;09-04-2025;;12;Especial;Solotest;Malha 200;Malha 200 (3201200);495399;Peneira 8x2 Número 200 - abertura 0,75mm
107;PEN-097;Peneira;PEN;SED;inativo;1035;21-07-2023;;12;Incerto;Projetest;Malha 2;"50 MM (Nº2\\\"")";5CS4Z123;"Em uso para o pen grosso. PENEIRA 8X2´´ NR.2\\\"" - 50 MM INOX"
108;PEN-072;Peneira;PEN;SED;inativo;991;03-07-2023;;12;Incerto;SoloTest;Malha 200;0,075mm (Nº200);455289;PENEIRA 8X2´´ NR.200 - 0,075MM INOX
109;PEN-144;Peneira;PEN;SED;inativo;1422;12-12-2024;;12;Incerto;Solotest;Malha 200;N200;487602;Peneira de malha 200 - 0,075mm INOX Em uso para a sedimentação 13/03/2025 Pendente Calibração
110;PEN-108;Peneira;PEN;SED;inativo;1046;12-12-2023;;12;Incerto;Solotest;Malha 200;0,075mm (Nº200);463867;Peneira 0,075mm (Nº200)
111;DEN-005;Densímetro;DEN;SED;ativo;1229;01-01-2020;;12;Especial;HG;;0,995/1050;3768/22;DENSÍMETRO PARA ENSAIO DE SEDIMENTAÇÃO
